bidderID;asin;bidorBuy;unixBidTime;bidTime
10838;43697;0.0;1619558508.0;28 Apr 2021 at 5:21:48am PDT
10838;43697;0.0;1619558506.0;28 Apr 2021 at 5:21:46am PDT
10838;43697;0.0;1619558503.0;28 Apr 2021 at 5:21:43am PDT
10838;43697;0.0;1619558500.0;28 Apr 2021 at 5:21:40am PDT
10838;43697;0.0;1619558498.0;28 Apr 2021 at 5:21:38am PDT
10838;43697;0.0;1619558495.0;28 Apr 2021 at 5:21:35am PDT
10838;43697;0.0;1619558492.0;28 Apr 2021 at 5:21:32am PDT
10838;43697;0.0;1619558489.0;28 Apr 2021 at 5:21:29am PDT
10838;43697;0.0;1619558485.0;28 Apr 2021 at 5:21:25am PDT
10147;43697;0.0;1619722111.0;30 Apr 2021 at 2:48:31am PDT
10147;43697;0.0;1619722098.0;30 Apr 2021 at 2:48:18am PDT
10147;43697;0.0;1619721932.0;30 Apr 2021 at 2:45:32am PDT
10661;57480;1.0;1621658471.0;22 May 2021 at 12:41:11pm PDT
10661;57480;0.0;1621658466.0;22 May 2021 at 12:41:06pm PDT
10661;57480;0.0;1621658358.0;22 May 2021 at 12:39:18pm PDT
10661;57480;0.0;1621652656.0;22 May 2021 at 11:04:16am PDT
10661;57480;0.0;1621652515.0;22 May 2021 at 11:01:55am PDT
10661;57480;0.0;1621648228.0;22 May 2021 at 9:50:28am PDT
10661;57480;0.0;1621648207.0;22 May 2021 at 9:50:07am PDT
10661;57480;0.0;1621648180.0;22 May 2021 at 9:49:40am PDT
10661;57480;0.0;1621485079.0;20 May 2021 at 12:31:19am PDT
10661;57480;0.0;1621485060.0;20 May 2021 at 12:31:00am PDT
10661;57480;0.0;1621485048.0;20 May 2021 at 12:30:48am PDT
10661;57480;0.0;1621479836.0;20 May 2021 at 11:03:56am PDT
10474;57480;0.0;1621380825.0;19 May 2021 at 7:33:45pm PDT
4261;57480;0.0;1621396294.0;19 May 2021 at 11:51:34am PDT
8516;1830;0.0;1620426722.0;8 May 2021 at 6:32:02pm PDT
8516;1830;0.0;1620426719.0;8 May 2021 at 6:31:59pm PDT
8516;1830;0.0;1620407567.0;8 May 2021 at 1:12:47am PDT
8516;1830;0.0;1620407565.0;8 May 2021 at 1:12:45am PDT
8516;1830;0.0;1620407492.0;8 May 2021 at 1:11:32am PDT
8516;1830;0.0;1620407490.0;8 May 2021 at 1:11:30am PDT
8516;1830;0.0;1620407489.0;8 May 2021 at 1:11:29am PDT
8516;1830;0.0;1620407487.0;8 May 2021 at 1:11:27am PDT
8516;1830;0.0;1620407486.0;8 May 2021 at 1:11:26am PDT
8516;1830;0.0;1620407485.0;8 May 2021 at 1:11:25am PDT
8516;1830;0.0;1620407484.0;8 May 2021 at 1:11:24am PDT
8516;1830;0.0;1620407482.0;8 May 2021 at 1:11:22am PDT
8516;1830;0.0;1620407479.0;8 May 2021 at 1:11:19am PDT
8516;1830;0.0;1620407476.0;8 May 2021 at 1:11:16am PDT
8708;19222;0.0;1621825999.0;24 May 2021 at 11:13:19am PDT
8708;19222;0.0;1621825996.0;24 May 2021 at 11:13:16am PDT
8708;19222;0.0;1621825962.0;24 May 2021 at 11:12:42am PDT
8708;19222;0.0;1621825957.0;24 May 2021 at 11:12:37am PDT
8708;19222;0.0;1621825946.0;24 May 2021 at 11:12:26am PDT
8708;19222;0.0;1621825920.0;24 May 2021 at 11:12:00am PDT
8708;19222;0.0;1621825841.0;24 May 2021 at 11:10:41am PDT
8708;19222;0.0;1621825834.0;24 May 2021 at 11:10:34am PDT
8708;19222;0.0;1621825821.0;24 May 2021 at 11:10:21am PDT
8708;19222;0.0;1621825816.0;24 May 2021 at 11:10:16am PDT
8708;19222;0.0;1621825808.0;24 May 2021 at 11:10:08am PDT
8708;19222;0.0;1621825798.0;24 May 2021 at 11:09:58am PDT
8708;19222;0.0;1621825792.0;24 May 2021 at 11:09:52am PDT
8708;19222;0.0;1621825782.0;24 May 2021 at 11:09:42am PDT
6782;41225;0.0;1620495782.0;9 May 2021 at 1:43:02pm PDT
6782;41225;0.0;1620495767.0;9 May 2021 at 1:42:47pm PDT
6782;41225;0.0;1620495756.0;9 May 2021 at 1:42:36pm PDT
6782;41225;0.0;1620495676.0;9 May 2021 at 1:41:16pm PDT
6782;41225;0.0;1620495572.0;9 May 2021 at 1:39:32pm PDT
6782;41225;0.0;1620325760.0;7 May 2021 at 2:29:20pm PDT
6782;41225;0.0;1620325675.0;7 May 2021 at 2:27:55pm PDT
1511;41225;1.0;1620495792.0;9 May 2021 at 1:43:12pm PDT
1511;41225;0.0;1620495713.0;9 May 2021 at 1:41:53pm PDT
698;41225;0.0;1620495745.0;9 May 2021 at 1:42:25pm PDT
698;41225;0.0;1620495738.0;9 May 2021 at 1:42:18pm PDT
698;41225;0.0;1620495735.0;9 May 2021 at 1:42:15pm PDT
698;41225;0.0;1620495732.0;9 May 2021 at 1:42:12pm PDT
698;41225;0.0;1619728491.0;30 Apr 2021 at 4:34:51pm PDT
9378;36391;0.0;1620765839.0;12 May 2021 at 4:43:59am PDT
9378;36391;0.0;1620678433.0;11 May 2021 at 4:27:13pm PDT
9378;36391;0.0;1620609080.0;10 May 2021 at 9:11:20pm PDT
9378;36391;0.0;1620609076.0;10 May 2021 at 9:11:16pm PDT
9378;36391;0.0;1620609073.0;10 May 2021 at 9:11:13pm PDT
9378;36391;0.0;1620609071.0;10 May 2021 at 9:11:11pm PDT
9378;36391;0.0;1620609069.0;10 May 2021 at 9:11:09pm PDT
9378;36391;0.0;1620609068.0;10 May 2021 at 9:11:08pm PDT
9378;36391;0.0;1620609066.0;10 May 2021 at 9:11:06pm PDT
9378;36391;0.0;1620609064.0;10 May 2021 at 9:11:04pm PDT
5611;36391;1.0;1621199754.0;17 May 2021 at 5:15:54pm PDT
5529;36391;0.0;1621192312.0;17 May 2021 at 3:11:52pm PDT
5529;36391;0.0;1621192309.0;17 May 2021 at 3:11:49pm PDT
5529;36391;0.0;1621192304.0;17 May 2021 at 3:11:44pm PDT
12492;43442;1.0;1618961581.0;21 Apr 2021 at 7:33:01am PDT
4005;43442;0.0;1618961754.0;21 Apr 2021 at 7:35:54am PDT
4005;43442;0.0;1618961748.0;21 Apr 2021 at 7:35:48am PDT
4005;43442;0.0;1618961672.0;21 Apr 2021 at 7:34:32am PDT
4005;43442;0.0;1618961648.0;21 Apr 2021 at 7:34:08am PDT
